#Data tag : 24v2 , Norm tag: composite
+--------------+-------------------+------+----------------------------+----------------+---------------+
| run:fill     | time              | ncms | hltpath                    | delivered(/fb) | recorded(/fb) |
| 380056:9568  | 04/27/24 18:55:05 | 168  | HLT_PFHT280_QuadPFJet30_v4 | 0.000373004    | 0.000358742   |
| 380066:9569  | 04/27/24 22:17:19 | 552  | HLT_PFHT280_QuadPFJet30_v4 | 0.002215292    | 0.002108323   |
| 380074:9570  | 04/28/24 06:24:04 | 1306 | HLT_PFHT280_QuadPFJet30_v4 | 0.004887230    | 0.004677675   |
| 380115:9573  | 04/29/24 09:42:28 | 1792 | HLT_PFHT280_QuadPFJet30_v4 | 0.006348491    | 0.006100610   |
| 380195:9575  | 04/30/24 23:30:14 | 7    | HLT_PFHT280_QuadPFJet30_v4 | 0.000032030    | 0.000029432   |
| 380197:9575  | 05/01/24 00:09:50 | 357  | HLT_PFHT280_QuadPFJet30_v4 | 0.001643093    | 0.001554127   |
| 380235:9579  | 05/01/24 17:29:48 | 256  | HLT_PFHT280_QuadPFJet30_v4 | 0.001022519    | 0.000958009   |
| 380236:9579  | 05/01/24 19:12:09 | 57   | HLT_PFHT280_QuadPFJet30_v4 | 0.000262408    | 0.000234470   |
| 380238:9579  | 05/01/24 20:06:47 | 25   | HLT_PFHT280_QuadPFJet30_v4 | 0.000114615    | 0.000106566   |
| 379613:9537  | 04/18/24 03:20:17 | 120  | HLT_PFHT280_QuadPFJet30_v5 | 0.000319847    | 0.000302154   |
| 379617:9537  | 04/18/24 04:23:35 | 664  | HLT_PFHT280_QuadPFJet30_v5 | 0.002259503    | 0.002121733   |
| 380306:9585  | 05/02/24 19:54:33 | 246  | HLT_PFHT280_QuadPFJet30_v5 | 0.000989964    | 0.000916374   |
| 380308:9585  | 05/02/24 21:44:38 | 35   | HLT_PFHT280_QuadPFJet30_v5 | 0.000161057    | 0.000135126   |
| 380309:9585  | 05/02/24 22:01:23 | 351  | HLT_PFHT280_QuadPFJet30_v5 | 0.001611272    | 0.001499071   |
| 380310:9585  | 05/03/24 00:19:19 | 1131 | HLT_PFHT280_QuadPFJet30_v5 | 0.003826485    | 0.003697391   |
| 380346:9593  | 05/03/24 16:31:34 | 562  | HLT_PFHT280_QuadPFJet30_v5 | 0.002405732    | 0.002260063   |
| 380348:9593  | 05/03/24 20:21:15 | 341  | HLT_PFHT280_QuadPFJet30_v5 | 0.001373913    | 0.001303330   |
| 380349:9593  | 05/03/24 22:39:04 | 695  | HLT_PFHT280_QuadPFJet30_v5 | 0.002120802    | 0.002055584   |
| 380360:9594  | 05/04/24 06:56:16 | 1928 | HLT_PFHT280_QuadPFJet30_v5 | 0.006808714    | 0.006553272   |
| 380377:9602  | 05/04/24 23:50:36 | 420  | HLT_PFHT280_QuadPFJet30_v5 | 0.001798151    | 0.001700219   |
| 380384:9603  | 05/05/24 06:57:47 | 751  | HLT_PFHT280_QuadPFJet30_v5 | 0.003287753    | 0.003113744   |
| 380385:9603  | 05/05/24 11:54:10 | 1247 | HLT_PFHT280_QuadPFJet30_v5 | 0.003955810    | 0.003818800   |
| 380399:9604  | 05/05/24 23:17:17 | 494  | HLT_PFHT280_QuadPFJet30_v5 | 0.002082450    | 0.001980667   |
| 380403:9604  | 05/06/24 03:21:24 | 251  | HLT_PFHT280_QuadPFJet30_v5 | 0.001064185    | 0.001014338   |
| 380444:9605  | 05/06/24 15:21:13 | 321  | HLT_PFHT280_QuadPFJet30_v5 | 0.001427942    | 0.001328297   |
| 380446:9605  | 05/06/24 17:33:05 | 1026 | HLT_PFHT280_QuadPFJet30_v5 | 0.004096028    | 0.003922975   |
| 380447:9605  | 05/07/24 00:20:05 | 810  | HLT_PFHT280_QuadPFJet30_v5 | 0.002081373    | 0.002033164   |
| 380466:9606  | 05/07/24 09:21:16 | 471  | HLT_PFHT280_QuadPFJet30_v5 | 0.002033915    | 0.001888159   |
| 380470:9606  | 05/07/24 13:06:34 | 1634 | HLT_PFHT280_QuadPFJet30_v5 | 0.005239622    | 0.005081266   |
| 380481:9608  | 05/08/24 05:37:58 | 860  | HLT_PFHT280_QuadPFJet30_v5 | 0.003757900    | 0.003545267   |
| 380513:9609  | 05/08/24 20:35:34 | 1158 | HLT_PFHT280_QuadPFJet30_v5 | 0.004881047    | 0.004636593   |
| 380517:9609  | 05/09/24 04:20:58 | 39   | HLT_PFHT280_QuadPFJet30_v5 | 0.000132722    | 0.000125644   |
| 380531:9610  | 05/09/24 07:02:24 | 1023 | HLT_PFHT280_QuadPFJet30_v5 | 0.004385776    | 0.004129630   |
| 380534:9610  | 05/09/24 13:56:20 | 746  | HLT_PFHT280_QuadPFJet30_v5 | 0.002262703    | 0.002196943   |
| 380537:9610  | 05/09/24 19:09:12 | 58   | HLT_PFHT280_QuadPFJet30_v5 | 0.000143212    | 0.000138082   |
| 380538:9610  | 05/09/24 19:36:56 | 144  | HLT_PFHT280_QuadPFJet30_v5 | 0.000324447    | 0.000317793   |
| 380564:9611  | 05/09/24 23:47:54 | 742  | HLT_PFHT280_QuadPFJet30_v5 | 0.003263785    | 0.003082645   |
| 380567:9611  | 05/10/24 04:54:24 | 1081 | HLT_PFHT280_QuadPFJet30_v5 | 0.003411342    | 0.003314453   |
| 380623:9614  | 05/11/24 20:40:52 | 388  | HLT_PFHT280_QuadPFJet30_v5 | 0.001640934    | 0.001540387   |
| 380624:9614  | 05/11/24 23:16:57 | 809  | HLT_PFHT280_QuadPFJet30_v5 | 0.003299712    | 0.003144442   |
| 380625:9614  | 05/12/24 04:34:00 | 7    | HLT_PFHT280_QuadPFJet30_v5 | 0.000023015    | 0.000021415   |
| 380626:9614  | 05/12/24 04:39:38 | 14   | HLT_PFHT280_QuadPFJet30_v5 | 0.000045572    | 0.000042225   |
| 380627:9614  | 05/12/24 04:48:42 | 808  | HLT_PFHT280_QuadPFJet30_v5 | 0.001933772    | 0.001887213   |
| 380647:9618  | 05/12/24 22:28:59 | 375  | HLT_PFHT280_QuadPFJet30_v5 | 0.001639911    | 0.001488490   |
| 380649:9618  | 05/13/24 01:56:15 | 401  | HLT_PFHT280_QuadPFJet30_v5 | 0.001689127    | 0.001593595   |
| 380933:9651  | 05/19/24 16:19:32 | 773  | HLT_PFHT280_QuadPFJet30_v5 | 0.000120261    | 0.000118869   |
| 380945:9653  | 05/20/24 06:39:35 | 245  | HLT_PFHT280_QuadPFJet30_v5 | 0.001006617    | 0.000949842   |
| 380947:9653  | 05/20/24 11:38:49 | 823  | HLT_PFHT280_QuadPFJet30_v5 | 0.002643976    | 0.002564423   |
| 380963:9654  | 05/20/24 20:42:43 | 922  | HLT_PFHT280_QuadPFJet30_v6 | 0.003718829    | 0.003546848   |
| 381022:9659  | 05/21/24 23:53:15 | 586  | HLT_PFHT280_QuadPFJet30_v6 | 0.002141674    | 0.002025254   |
| 381053:9661  | 05/22/24 09:14:55 | 108  | HLT_PFHT280_QuadPFJet30_v6 | 0.000338471    | 0.000323559   |
| 381065:9662  | 05/22/24 12:16:48 | 791  | HLT_PFHT280_QuadPFJet30_v6 | 0.003508962    | 0.003285070   |
| 381067:9662  | 05/22/24 17:33:10 | 313  | HLT_PFHT280_QuadPFJet30_v6 | 0.001236981    | 0.001188505   |
| 381113:9664  | 05/23/24 18:23:22 | 234  | HLT_PFHT280_QuadPFJet30_v6 | 0.000924340    | 0.000873413   |
| 381069:9662  | 05/22/24 20:20:02 | 307  | HLT_PFHT280_QuadPFJet30_v6 | 0.000985751    | 0.000935645   |
| 381070:9662  | 05/22/24 22:21:18 | 425  | HLT_PFHT280_QuadPFJet30_v6 | 0.001158517    | 0.001132978   |
| 381075:9663  | 05/23/24 03:44:42 | 426  | HLT_PFHT280_QuadPFJet30_v6 | 0.001840564    | 0.001734860   |
| 381078:9663  | 05/23/24 06:53:58 | 334  | HLT_PFHT280_QuadPFJet30_v6 | 0.001442608    | 0.001347767   |
| 381079:9663  | 05/23/24 09:06:56 | 396  | HLT_PFHT280_QuadPFJet30_v6 | 0.001390297    | 0.001325264   |
| 381080:9663  | 05/23/24 11:44:26 | 336  | HLT_PFHT280_QuadPFJet30_v6 | 0.000983914    | 0.000943222   |
| 381114:9664  | 05/23/24 20:11:10 | 458  | HLT_PFHT280_QuadPFJet30_v6 | 0.002105475    | 0.001969031   |
| 381115:9664  | 05/23/24 23:12:32 | 1294 | HLT_PFHT280_QuadPFJet30_v6 | 0.004079718    | 0.003950364   |
| 381147:9666  | 05/24/24 11:18:29 | 186  | HLT_PFHT280_QuadPFJet30_v6 | 0.000753769    | 0.000705914   |
| 381148:9666  | 05/24/24 12:38:03 | 264  | HLT_PFHT280_QuadPFJet30_v6 | 0.000815713    | 0.000760385   |
| 381149:9666  | 05/24/24 14:31:15 | 133  | HLT_PFHT280_QuadPFJet30_v6 | 0.000624328    | 0.000582113   |
| 381150:9666  | 05/24/24 15:25:36 | 41   | HLT_PFHT280_QuadPFJet30_v6 | 0.000187170    | 0.000175181   |
| 381151:9666  | 05/24/24 15:45:18 | 851  | HLT_PFHT280_QuadPFJet30_v6 | 0.003052418    | 0.002908817   |
| 381152:9666  | 05/24/24 21:19:14 | 193  | HLT_PFHT280_QuadPFJet30_v6 | 0.000527037    | 0.000510633   |
| 381164:9667  | 05/25/24 00:51:30 | 1147 | HLT_PFHT280_QuadPFJet30_v6 | 0.005170946    | 0.004835421   |
| 381190:9670  | 05/25/24 13:16:44 | 1098 | HLT_PFHT280_QuadPFJet30_v6 | 0.004933269    | 0.004617641   |
| 381191:9670  | 05/25/24 20:25:58 | 1121 | HLT_PFHT280_QuadPFJet30_v6 | 0.003356095    | 0.003254752   |
| 381199:9672  | 05/26/24 09:25:18 | 150  | HLT_PFHT280_QuadPFJet30_v6 | 0.000567646    | 0.000526965   |
| 381212:9674  | 05/27/24 04:02:15 | 372  | HLT_PFHT280_QuadPFJet30_v6 | 0.001671626    | 0.001567373   |
| 381286:9677  | 05/27/24 16:09:15 | 711  | HLT_PFHT280_QuadPFJet30_v6 | 0.003259228    | 0.003012591   |
| 381309:9680  | 05/28/24 06:47:14 | 425  | HLT_PFHT280_QuadPFJet30_v6 | 0.001923111    | 0.001807750   |
| 381358:9683  | 05/28/24 18:58:02 | 3    | HLT_PFHT280_QuadPFJet30_v6 | 0.000006436    | 0.000004553   |
| 381364:9684  | 05/28/24 21:34:05 | 382  | HLT_PFHT280_QuadPFJet30_v6 | 0.001667662    | 0.001557637   |
| 381365:9684  | 05/29/24 00:22:44 | 595  | HLT_PFHT280_QuadPFJet30_v6 | 0.002344931    | 0.002545419   |
| 381371:9686  | 05/29/24 06:46:06 | 194  | HLT_PFHT280_QuadPFJet30_v6 | 0.000790686    | 0.000748414   |
| 381379:9687  | 05/29/24 10:50:00 | 833  | HLT_PFHT280_QuadPFJet30_v6 | 0.003756793    | 0.003502704   |
| 381380:9687  | 05/29/24 16:17:34 | 1354 | HLT_PFHT280_QuadPFJet30_v6 | 0.003824579    | 0.003980450   |
| 381384:9691  | 05/30/24 05:24:04 | 3482 | HLT_PFHT280_QuadPFJet30_v6 | 0.010472197    | 0.010037912   |
| 381417:9694  | 05/31/24 13:50:23 | 1782 | HLT_PFHT280_QuadPFJet30_v6 | 0.007112808    | 0.006741089   |
| 381443:9696  | 06/01/24 12:16:15 | 1517 | HLT_PFHT280_QuadPFJet30_v6 | 0.006207224    | 0.005870044   |
| 381477:9700  | 06/02/24 11:50:04 | 278  | HLT_PFHT280_QuadPFJet30_v6 | 0.001168496    | 0.001100467   |
| 381479:9700  | 06/02/24 13:58:03 | 434  | HLT_PFHT280_QuadPFJet30_v6 | 0.002045045    | 0.001919264   |
| 381480:9700  | 06/02/24 16:48:38 | 1268 | HLT_PFHT280_QuadPFJet30_v6 | 0.004192491    | 0.004034165   |
| 381484:9701  | 06/03/24 03:15:04 | 820  | HLT_PFHT280_QuadPFJet30_v6 | 0.003741954    | 0.003498957   |
| 381499:9705  | 06/03/24 16:18:24 | 195  | HLT_PFHT280_QuadPFJet30_v6 | 0.000786582    | 0.000733851   |
| 381500:9705  | 06/03/24 17:37:39 | 92   | HLT_PFHT280_QuadPFJet30_v6 | 0.000434318    | 0.000394866   |
| 381515:9707  | 06/03/24 22:01:00 | 514  | HLT_PFHT280_QuadPFJet30_v6 | 0.002322885    | 0.002139771   |
| 381516:9707  | 06/04/24 01:22:53 | 1667 | HLT_PFHT280_QuadPFJet30_v6 | 0.005830021    | 0.005548578   |
| 381543:9708  | 06/04/24 14:37:55 | 512  | HLT_PFHT280_QuadPFJet30_v6 | 0.002356808    | 0.002212777   |
| 381544:9708  | 06/04/24 18:12:43 | 1970 | HLT_PFHT280_QuadPFJet30_v6 | 0.006385928    | 0.006146655   |
| 382229:9806  | 06/20/24 09:39:20 | 313  | HLT_PFHT280_QuadPFJet30_v7 | 0.000240060    | 0.000226713   |
| 382250:9808  | 06/20/24 16:24:45 | 890  | HLT_PFHT280_QuadPFJet30_v7 | 0.001150071    | 0.001077415   |
| 382255:9810  | 06/21/24 04:47:31 | 97   | HLT_PFHT280_QuadPFJet30_v7 | 0.000308506    | 0.000283248   |
| 382256:9810  | 06/21/24 05:26:51 | 67   | HLT_PFHT280_QuadPFJet30_v7 | 0.000311840    | 0.000276625   |
| 382257:9810  | 06/21/24 06:11:04 | 70   | HLT_PFHT280_QuadPFJet30_v7 | 0.000325813    | 0.000290281   |
| 382258:9810  | 06/21/24 06:41:16 | 1147 | HLT_PFHT280_QuadPFJet30_v7 | 0.005001430    | 0.004795632   |
| 382262:9810  | 06/21/24 14:31:56 | 253  | HLT_PFHT280_QuadPFJet30_v7 | 0.000795287    | 0.000767069   |
| 382298:9812  | 06/21/24 19:39:36 | 53   | HLT_PFHT280_QuadPFJet30_v7 | 0.000148191    | 0.000143017   |
| 382299:9812  | 06/21/24 20:38:11 | 807  | HLT_PFHT280_QuadPFJet30_v7 | 0.003853030    | 0.003560184   |
| 382300:9812  | 06/22/24 01:55:26 | 1186 | HLT_PFHT280_QuadPFJet30_v7 | 0.003838631    | 0.003718862   |
| 382313:9813  | 06/22/24 11:50:52 | 389  | HLT_PFHT280_QuadPFJet30_v7 | -0.000666611   | -0.000658629  |
| 382314:9813  | 06/22/24 14:26:01 | 295  | HLT_PFHT280_QuadPFJet30_v7 | 0.001417708    | 0.001343885   |
| 382328:9816  | 06/22/24 22:38:19 | 90   | HLT_PFHT280_QuadPFJet30_v7 | 0.000340449    | 0.000310496   |
| 382329:9816  | 06/22/24 23:16:38 | 150  | HLT_PFHT280_QuadPFJet30_v7 | 0.000720580    | 0.000677908   |
| 382343:9819  | 06/23/24 13:01:16 | 2208 | HLT_PFHT280_QuadPFJet30_v7 | 0.008874750    | 0.008347642   |
| 382344:9819  | 06/24/24 03:22:08 | 355  | HLT_PFHT280_QuadPFJet30_v7 | 0.001292428    | 0.001247534   |
| 382504:9832  | 06/27/24 14:22:09 | 349  | HLT_PFHT280_QuadPFJet30_v7 | 0.001521990    | 0.001441033   |
| 382568:9838  | 06/28/24 23:55:16 | 406  | HLT_PFHT280_QuadPFJet30_v7 | 0.001802787    | 0.001698466   |
| 382580:9840  | 06/29/24 07:43:50 | 1711 | HLT_PFHT280_QuadPFJet30_v7 | 0.007159481    | 0.006823583   |
| 382594:9842  | 06/30/24 02:29:05 | 1406 | HLT_PFHT280_QuadPFJet30_v7 | 0.005898929    | 0.005612043   |
| 382595:9842  | 06/30/24 11:37:12 | 854  | HLT_PFHT280_QuadPFJet30_v7 | 0.002614132    | 0.002534720   |
| 382617:9843  | 06/30/24 19:33:03 | 701  | HLT_PFHT280_QuadPFJet30_v7 | 0.003054863    | 0.002915258   |
| 382626:9846  | 07/01/24 07:24:48 | 359  | HLT_PFHT280_QuadPFJet30_v7 | 0.001610946    | 0.001518910   |
| 382649:9848  | 07/01/24 14:36:50 | 482  | HLT_PFHT280_QuadPFJet30_v7 | 0.002175544    | 0.001986464   |
| 382650:9848  | 07/01/24 17:47:17 | 234  | HLT_PFHT280_QuadPFJet30_v7 | 0.001134080    | 0.001075610   |
| 382654:9849  | 07/01/24 21:54:59 | 1638 | HLT_PFHT280_QuadPFJet30_v7 | 0.007110737    | 0.006682532   |
| 382655:9849  | 07/02/24 08:36:08 | 394  | HLT_PFHT280_QuadPFJet30_v7 | 0.001271671    | 0.001227154   |
| 382656:9849  | 07/02/24 11:12:31 | 294  | HLT_PFHT280_QuadPFJet30_v7 | 0.000794828    | 0.000768421   |
| 382679:9851  | 07/02/24 21:51:44 | 71   | HLT_PFHT280_QuadPFJet30_v7 | 0.000206965    | 0.000201790   |
| 382684:9852  | 07/03/24 00:51:55 | 1164 | HLT_PFHT280_QuadPFJet30_v7 | 0.005456218    | 0.005108450   |
