#Data tag : 24v2 , Norm tag: composite
+--------------+-------------------+------+-------------------------+----------------+---------------+
| run:fill     | time              | ncms | hltpath                 | delivered(/fb) | recorded(/fb) |
| 379433:9520  | 04/15/24 05:13:11 | 21   | DST_PFScouting_JetHT_v1 | 0.001445962    | 0.001317406   |
| 379442:9521  | 04/15/24 07:07:46 | 269  | DST_PFScouting_JetHT_v1 | 0.056124393    | 0.052826824   |
| 379454:9523  | 04/15/24 11:25:22 | 498  | DST_PFScouting_JetHT_v1 | 0.108599939    | 0.098761520   |
| 379456:9523  | 04/15/24 14:47:09 | 1199 | DST_PFScouting_JetHT_v1 | 0.213867768    | 0.200930037   |
| 379470:9525  | 04/16/24 00:38:26 | 794  | DST_PFScouting_JetHT_v1 | 0.176689134    | 0.166290707   |
| 379530:9530  | 04/17/24 01:12:13 | 593  | DST_PFScouting_JetHT_v1 | 0.191940700    | 0.179354912   |
| 379618:9537  | 04/18/24 08:43:50 | 360  | DST_PFScouting_JetHT_v1 | 0.102654407    | 0.098876336   |
| 379660:9539  | 04/18/24 16:49:04 | 1507 | DST_PFScouting_JetHT_v1 | 0.436403975    | 0.420688731   |
| 379661:9539  | 04/19/24 02:37:20 | 406  | DST_PFScouting_JetHT_v1 | 0.080810141    | 0.079727835   |
| 379729:9543  | 04/19/24 17:38:45 | 1465 | DST_PFScouting_JetHT_v1 | 0.460166084    | 0.446076940   |
| 379765:9548  | 04/20/24 14:03:25 | 1695 | DST_PFScouting_JetHT_v1 | 0.557740933    | 0.529987228   |
| 379866:9559  | 04/23/24 20:37:55 | 1347 | DST_PFScouting_JetHT_v1 | 0.282317013    | 0.274846900   |
| 379984:9562  | 04/25/24 11:47:58 | 913  | DST_PFScouting_JetHT_v1 | 0.239496848    | 0.232848100   |
| 380001:9564  | 04/25/24 20:39:17 | 691  | DST_PFScouting_JetHT_v1 | 0.240209574    | 0.231830483   |
| 380005:9565  | 04/26/24 03:10:19 | 1062 | DST_PFScouting_JetHT_v1 | 0.368833018    | 0.353536383   |
| 380007:9565  | 04/26/24 10:12:08 | 129  | DST_PFScouting_JetHT_v1 | 0.037005951    | 0.035178888   |
| 380029:9566  | 04/26/24 15:02:20 | 55   | DST_PFScouting_JetHT_v1 | 0.011268058    | 0.010387435   |
| 380030:9566  | 04/26/24 15:37:30 | 346  | DST_PFScouting_JetHT_v1 | 0.146323393    | 0.138848435   |
| 380032:9566  | 04/26/24 19:11:02 | 19   | DST_PFScouting_JetHT_v1 | 0.007326713    | 0.006891669   |
| 380033:9566  | 04/26/24 19:21:25 | 53   | DST_PFScouting_JetHT_v1 | 0.020904664    | 0.019948303   |
| 380043:9567  | 04/26/24 22:44:31 | 900  | DST_PFScouting_JetHT_v1 | 0.360928718    | 0.343330821   |
| 380049:9568  | 04/27/24 07:10:37 | 871  | DST_PFScouting_JetHT_v1 | 0.354756046    | 0.334706934   |
| 380051:9568  | 04/27/24 12:55:48 | 735  | DST_PFScouting_JetHT_v1 | 0.226861352    | 0.218611685   |
| 380052:9568  | 04/27/24 17:45:43 | 12   | DST_PFScouting_JetHT_v1 | 0.003076304    | 0.002876220   |
| 380053:9568  | 04/27/24 17:57:47 | 128  | DST_PFScouting_JetHT_v1 | 0.031645991    | 0.030658378   |
| 380056:9568  | 04/27/24 18:55:05 | 168  | DST_PFScouting_JetHT_v1 | 0.037300450    | 0.035874233   |
| 380066:9569  | 04/27/24 22:17:19 | 552  | DST_PFScouting_JetHT_v1 | 0.221529184    | 0.210832262   |
| 380074:9570  | 04/28/24 06:24:04 | 1306 | DST_PFScouting_JetHT_v1 | 0.488723048    | 0.467767458   |
| 380115:9573  | 04/29/24 09:42:28 | 1792 | DST_PFScouting_JetHT_v1 | 0.634849067    | 0.610061044   |
| 380195:9575  | 04/30/24 23:30:14 | 7    | DST_PFScouting_JetHT_v1 | 0.003203024    | 0.002943249   |
| 380197:9575  | 05/01/24 00:09:50 | 357  | DST_PFScouting_JetHT_v1 | 0.164309292    | 0.155412687   |
| 380235:9579  | 05/01/24 17:29:48 | 256  | DST_PFScouting_JetHT_v1 | 0.102251889    | 0.095800937   |
| 380236:9579  | 05/01/24 19:12:09 | 57   | DST_PFScouting_JetHT_v1 | 0.026240772    | 0.023446994   |
| 380238:9579  | 05/01/24 20:06:47 | 25   | DST_PFScouting_JetHT_v1 | 0.011461516    | 0.010656638   |
| 379613:9537  | 04/18/24 03:20:17 | 120  | DST_PFScouting_JetHT_v2 | 0.031984748    | 0.030215392   |
| 379617:9537  | 04/18/24 04:23:35 | 664  | DST_PFScouting_JetHT_v2 | 0.225950277    | 0.212173331   |
| 380306:9585  | 05/02/24 19:54:33 | 246  | DST_PFScouting_JetHT_v2 | 0.098996363    | 0.091637426   |
| 380308:9585  | 05/02/24 21:44:38 | 35   | DST_PFScouting_JetHT_v2 | 0.016105719    | 0.013512556   |
| 380309:9585  | 05/02/24 22:01:23 | 351  | DST_PFScouting_JetHT_v2 | 0.161127170    | 0.149907124   |
| 380310:9585  | 05/03/24 00:19:19 | 1131 | DST_PFScouting_JetHT_v2 | 0.382648453    | 0.369739147   |
| 380346:9593  | 05/03/24 16:31:34 | 562  | DST_PFScouting_JetHT_v2 | 0.240573156    | 0.226006257   |
| 380348:9593  | 05/03/24 20:21:15 | 341  | DST_PFScouting_JetHT_v2 | 0.137391316    | 0.130333030   |
| 380349:9593  | 05/03/24 22:39:04 | 695  | DST_PFScouting_JetHT_v2 | 0.212080206    | 0.205558384   |
| 380360:9594  | 05/04/24 06:56:16 | 1928 | DST_PFScouting_JetHT_v2 | 0.680871385    | 0.655327190   |
| 380377:9602  | 05/04/24 23:50:36 | 420  | DST_PFScouting_JetHT_v2 | 0.179815128    | 0.170021948   |
| 380384:9603  | 05/05/24 06:57:47 | 751  | DST_PFScouting_JetHT_v2 | 0.328775268    | 0.311374383   |
| 380385:9603  | 05/05/24 11:54:10 | 1247 | DST_PFScouting_JetHT_v2 | 0.395580991    | 0.381880031   |
| 380399:9604  | 05/05/24 23:17:17 | 494  | DST_PFScouting_JetHT_v2 | 0.208244994    | 0.198066744   |
| 380403:9604  | 05/06/24 03:21:24 | 251  | DST_PFScouting_JetHT_v2 | 0.106418496    | 0.101433755   |
| 380444:9605  | 05/06/24 15:21:13 | 321  | DST_PFScouting_JetHT_v2 | 0.142794204    | 0.132829696   |
| 380446:9605  | 05/06/24 17:33:05 | 1026 | DST_PFScouting_JetHT_v2 | 0.409602811    | 0.392297458   |
| 380447:9605  | 05/07/24 00:20:05 | 810  | DST_PFScouting_JetHT_v2 | 0.208137319    | 0.203316370   |
| 380466:9606  | 05/07/24 09:21:16 | 471  | DST_PFScouting_JetHT_v2 | 0.203391493    | 0.188815871   |
| 380470:9606  | 05/07/24 13:06:34 | 1634 | DST_PFScouting_JetHT_v2 | 0.523962228    | 0.508126600   |
| 380481:9608  | 05/08/24 05:37:58 | 860  | DST_PFScouting_JetHT_v2 | 0.375790030    | 0.354526675   |
| 380513:9609  | 05/08/24 20:35:34 | 1158 | DST_PFScouting_JetHT_v2 | 0.488104718    | 0.463659292   |
| 380517:9609  | 05/09/24 04:20:58 | 39   | DST_PFScouting_JetHT_v2 | 0.013272158    | 0.012564357   |
| 380531:9610  | 05/09/24 07:02:24 | 1023 | DST_PFScouting_JetHT_v2 | 0.438577550    | 0.412962999   |
| 380534:9610  | 05/09/24 13:56:20 | 746  | DST_PFScouting_JetHT_v2 | 0.226270285    | 0.219694281   |
| 380537:9610  | 05/09/24 19:09:12 | 58   | DST_PFScouting_JetHT_v2 | 0.014321158    | 0.013808230   |
| 380538:9610  | 05/09/24 19:36:56 | 144  | DST_PFScouting_JetHT_v2 | 0.032444749    | 0.031779333   |
| 380564:9611  | 05/09/24 23:47:54 | 742  | DST_PFScouting_JetHT_v2 | 0.326378483    | 0.308264514   |
| 380567:9611  | 05/10/24 04:54:24 | 1081 | DST_PFScouting_JetHT_v2 | 0.341134205    | 0.331445292   |
| 380623:9614  | 05/11/24 20:40:52 | 388  | DST_PFScouting_JetHT_v2 | 0.164093400    | 0.154038705   |
| 380624:9614  | 05/11/24 23:16:57 | 809  | DST_PFScouting_JetHT_v2 | 0.329971193    | 0.314444173   |
| 380625:9614  | 05/12/24 04:34:00 | 7    | DST_PFScouting_JetHT_v2 | 0.002301493    | 0.002141493   |
| 380626:9614  | 05/12/24 04:39:38 | 14   | DST_PFScouting_JetHT_v2 | 0.004557204    | 0.004222548   |
| 380627:9614  | 05/12/24 04:48:42 | 808  | DST_PFScouting_JetHT_v2 | 0.193377182    | 0.188721319   |
| 380647:9618  | 05/12/24 22:28:59 | 375  | DST_PFScouting_JetHT_v2 | 0.163991139    | 0.148849041   |
